X,Y,Primary,Secondary
6.25000,6.25000,1.33810,1.67130
18.75000,6.25000,-0.14630,0.03830
31.25000,6.25000,-0.28770,0.78910
43.75000,6.25000,-1.59650,0.24080
56.25000,6.25000,-0.30700,0.02320
68.75000,6.25000,0.85510,1.17020
81.25000,6.25000,2.14870,1.88920
93.75000,6.25000,1.55300,1.22470
6.25000,18.75000,-1.21910,-1.15020
18.75000,18.75000,-0.00880,0.17100
31.25000,18.75000,1.15020,-0.30350
43.75000,18.75000,-0.40100,-1.47850
56.25000,18.75000,-0.54760,-1.06230
68.75000,18.75000,-0.31700,-1.08360
81.25000,18.75000,-1.88860,-0.99890
93.75000,18.75000,-0.30110,0.98530
6.25000,31.25000,-0.50570,-0.45020
18.75000,31.25000,-0.63380,-0.54900
31.25000,31.25000,0.18400,-0.59700
43.75000,31.25000,-0.97830,-1.09770
56.25000,31.25000,-2.22420,-2.02050
68.75000,31.25000,-1.47750,-1.96370
81.25000,31.25000,-1.24680,-1.49080
93.75000,31.25000,0.33140,-0.23490
6.25000,43.75000,0.90860,0.72730
18.75000,43.75000,-0.14520,-0.76560
31.25000,43.75000,-1.95490,-1.75060
43.75000,43.75000,-1.42720,-1.91110
56.25000,43.75000,-1.01040,-1.42290
68.75000,43.75000,-0.27760,-1.15350
81.25000,43.75000,-0.23900,-0.66940
93.75000,43.75000,1.15630,-0.01710
6.25000,56.25000,0.50900,0.29640
18.75000,56.25000,-0.45630,0.00520
31.25000,56.25000,-0.70480,0.15380
43.75000,56.25000,-1.02920,-0.24500
56.25000,56.25000,-0.96920,-0.21400
68.75000,56.25000,0.32600,0.08190
81.25000,56.25000,0.13510,0.00960
93.75000,56.25000,-0.05150,-0.56880
6.25000,68.75000,-1.79020,-0.48170
18.75000,68.75000,0.89740,1.04420
31.25000,68.75000,1.13080,1.19470
43.75000,68.75000,0.17620,0.19130
56.25000,68.75000,-0.88170,-0.43030
68.75000,68.75000,-0.08010,-0.07640
81.25000,68.75000,-0.99490,-0.24290
93.75000,68.75000,-2.08210,-1.78200
6.25000,81.25000,-2.62380,-0.64320
18.75000,81.25000,-0.94610,-0.25010
31.25000,81.25000,0.17930,0.92370
43.75000,81.25000,1.53430,1.59230
56.25000,81.25000,-0.58480,0.43940
68.75000,81.25000,-2.49520,-0.77460
81.25000,81.25000,-1.92560,-0.28010
93.75000,81.25000,-1.32290,-0.78650
6.25000,93.75000,-0.37430,-0.38190
18.75000,93.75000,-0.77530,-0.08400
31.25000,93.75000,-0.07780,0.47230
43.75000,93.75000,-0.10390,0.71110
56.25000,93.75000,0.21330,0.46800
68.75000,93.75000,-0.88100,0.02810
81.25000,93.75000,-1.07350,0.15820
93.75000,93.75000,-0.54330,0.07670
