X,Y,Z,Primary,Secondary
0.50000,0.50000,0.50000,0.55388,0.95364
1.50000,0.50000,0.50000,0.36372,0.78269
2.50000,0.50000,0.50000,0.33638,0.89885
3.50000,0.50000,0.50000,0.35526,0.79879
4.50000,0.50000,0.50000,0.28723,0.96605
5.50000,0.50000,0.50000,0.37602,0.90975
6.50000,0.50000,0.50000,0.45774,0.97681
7.50000,0.50000,0.50000,0.10388,0.77518
8.50000,0.50000,0.50000,0.34927,1.01166
9.50000,0.50000,0.50000,0.67495,1.09801
10.50000,0.50000,0.50000,1.07210,1.33004
11.50000,0.50000,0.50000,0.88306,1.08487
12.50000,0.50000,0.50000,0.76710,0.78148
13.50000,0.50000,0.50000,0.39021,0.71994
14.50000,0.50000,0.50000,0.41863,0.72930
15.50000,0.50000,0.50000,0.22646,0.65983
16.50000,0.50000,0.50000,0.10077,0.68119
17.50000,0.50000,0.50000,-0.01246,0.28672
18.50000,0.50000,0.50000,0.11083,0.30738
19.50000,0.50000,0.50000,0.32676,0.46240
20.50000,0.50000,0.50000,-0.26275,0.40433
21.50000,0.50000,0.50000,-0.45917,0.41826
22.50000,0.50000,0.50000,-0.74928,0.26695
23.50000,0.50000,0.50000,-0.99530,0.11754
24.50000,0.50000,0.50000,-1.58242,-0.12514
25.50000,0.50000,0.50000,-1.13084,-0.09324
26.50000,0.50000,0.50000,-1.15253,-0.04947
27.50000,0.50000,0.50000,-1.12358,0.06796
28.50000,0.50000,0.50000,-1.26375,0.02100
29.50000,0.50000,0.50000,-1.06045,0.10711
30.50000,0.50000,0.50000,-1.04677,0.13656
31.50000,0.50000,0.50000,-1.09556,-0.18124
32.50000,0.50000,0.50000,-1.25336,-0.30781
33.50000,0.50000,0.50000,-1.24518,-0.27718
34.50000,0.50000,0.50000,-1.08767,-0.09390
35.50000,0.50000,0.50000,-1.02314,-0.20868
36.50000,0.50000,0.50000,-1.20607,-0.32378
37.50000,0.50000,0.50000,-0.92463,-0.31163
