Variogram Index,Lag Distance,Number of Pairs,Variogram Value,Variogram Number,Calculation Azimuth,Calculation Dip,Variogram Type,Variogram Tail Index,Variogram Head Index
1.00000,12.50000,56.00000,0.55392,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,18.26923,104.00000,0.81400,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,23.61111,144.00000,0.97687,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,37.19470,190.00000,1.20535,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,46.18544,222.00000,1.18777,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,59.64312,206.00000,1.04701,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,70.37440,178.00000,0.95990,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,82.21213,112.00000,1.08734,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,90.48693,44.00000,1.20315,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,112.50000,0.00000,-999.00000,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
2.00000,12.50000,52.00000,0.82563,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,18.00000,100.00000,1.04402,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,24.17883,137.00000,0.98904,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,38.01681,178.00000,0.94782,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,46.46822,215.00000,0.86714,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,59.88300,201.00000,1.02440,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,70.60198,173.00000,1.24689,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,82.21213,112.00000,1.29656,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,90.48693,44.00000,0.98377,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
2.00000,112.50000,0.00000,-999.00000,1.00000,0.00000,0.00000,1.00000,1.00000,1.00000
