Variogram Index,Lag Distance,Number of Pairs,Variogram Value,Variogram Number,Calculation Azimuth,Calculation Dip,Variogram Type,Variogram Tail Index,Variogram Head Index
1.00000,12.50000,56.00000,0.32715,1.00000,90.00000,0.00000,2.00000,1.00000,2.00000
1.00000,18.26923,104.00000,0.49669,1.00000,90.00000,0.00000,2.00000,1.00000,2.00000
1.00000,23.61111,144.00000,0.59544,1.00000,90.00000,0.00000,2.00000,1.00000,2.00000
1.00000,37.19470,190.00000,0.79867,1.00000,90.00000,0.00000,2.00000,1.00000,2.00000
1.00000,46.18544,222.00000,0.82268,1.00000,90.00000,0.00000,2.00000,1.00000,2.00000
1.00000,59.64312,206.00000,0.74667,1.00000,90.00000,0.00000,2.00000,1.00000,2.00000
1.00000,70.37440,178.00000,0.67300,1.00000,90.00000,0.00000,2.00000,1.00000,2.00000
1.00000,82.21213,112.00000,0.65082,1.00000,90.00000,0.00000,2.00000,1.00000,2.00000
1.00000,90.48693,44.00000,0.58823,1.00000,90.00000,0.00000,2.00000,1.00000,2.00000
1.00000,112.50000,0.00000,-999.00000,1.00000,90.00000,0.00000,2.00000,1.00000,2.00000
2.00000,12.50000,52.00000,0.50641,1.00000,0.00000,0.00000,2.00000,1.00000,2.00000
2.00000,18.00000,100.00000,0.66339,1.00000,0.00000,0.00000,2.00000,1.00000,2.00000
2.00000,24.17883,137.00000,0.64510,1.00000,0.00000,0.00000,2.00000,1.00000,2.00000
2.00000,38.01681,178.00000,0.70065,1.00000,0.00000,0.00000,2.00000,1.00000,2.00000
2.00000,46.46822,215.00000,0.66014,1.00000,0.00000,0.00000,2.00000,1.00000,2.00000
2.00000,59.88300,201.00000,0.72711,1.00000,0.00000,0.00000,2.00000,1.00000,2.00000
2.00000,70.60198,173.00000,0.77599,1.00000,0.00000,0.00000,2.00000,1.00000,2.00000
2.00000,82.21213,112.00000,0.74230,1.00000,0.00000,0.00000,2.00000,1.00000,2.00000
2.00000,90.48693,44.00000,0.56496,1.00000,0.00000,0.00000,2.00000,1.00000,2.00000
2.00000,112.50000,0.00000,-999.00000,1.00000,0.00000,0.00000,2.00000,1.00000,2.00000
