Variogram Index,Lag Distance,Number of Pairs,Variogram Value,Variogram Number,Calculation Azimuth,Calculation Dip,Variogram Type,Variogram Tail Index,Variogram Head Index
1.00000,0.00000,0.00000,-999.00000,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,1.00000,9900.00000,0.02450,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,2.00000,9800.00000,0.04877,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,3.10782,28906.00000,0.08298,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,4.08179,28608.00000,0.10811,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,5.19251,46930.00000,0.14639,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,6.16194,46436.00000,0.17376,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,7.13962,45942.00000,0.20266,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,7.97860,63490.00000,0.23573,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,9.06674,80456.00000,0.27131,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,10.11877,79392.00000,0.30652,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,11.08805,78512.00000,0.33482,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,12.06603,94542.00000,0.37120,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,13.03325,93472.00000,0.40015,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,14.05207,108758.00000,0.43872,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,15.01827,107500.00000,0.46914,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,16.05498,122370.00000,0.50285,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,17.15679,120416.00000,0.54351,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,18.12652,118972.00000,0.57352,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,19.09933,117528.00000,0.60365,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,20.03141,131172.00000,0.63929,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,21.00224,129544.00000,0.66813,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,22.01755,157012.00000,0.70848,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,23.03707,140482.00000,0.73310,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,24.02406,152712.00000,0.76734,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,25.03655,164972.00000,0.79360,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,26.08672,162070.00000,0.82878,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
1.00000,27.05522,159902.00000,0.85379,1.00000,90.00000,0.00000,1.00000,1.00000,1.00000
