X,Y,Secondary
0.50000,0.50000,0.95364
1.50000,0.50000,0.78269
2.50000,0.50000,0.89885
3.50000,0.50000,0.79879
4.50000,0.50000,0.96605
5.50000,0.50000,0.90975
6.50000,0.50000,0.97681
7.50000,0.50000,0.77518
8.50000,0.50000,1.01166
9.50000,0.50000,1.09801
10.50000,0.50000,1.33004
11.50000,0.50000,1.08487
12.50000,0.50000,0.78148
13.50000,0.50000,0.71994
14.50000,0.50000,0.72930
15.50000,0.50000,0.65983
16.50000,0.50000,0.68119
17.50000,0.50000,0.28672
18.50000,0.50000,0.30738
19.50000,0.50000,0.46240
20.50000,0.50000,0.40433
21.50000,0.50000,0.41826
22.50000,0.50000,0.26695
23.50000,0.50000,0.11754
24.50000,0.50000,-0.12514
25.50000,0.50000,-0.09324
26.50000,0.50000,-0.04947
27.50000,0.50000,0.06796
28.50000,0.50000,0.02100
29.50000,0.50000,0.10711
30.50000,0.50000,0.13656
31.50000,0.50000,-0.18124
32.50000,0.50000,-0.30781
33.50000,0.50000,-0.27718
34.50000,0.50000,-0.09390
35.50000,0.50000,-0.20868
36.50000,0.50000,-0.32378
37.50000,0.50000,-0.31163
38.50000,0.50000,-0.13995
39.50000,0.50000,-0.14025
40.50000,0.50000,-0.30211
41.50000,0.50000,-0.58388
42.50000,0.50000,-0.34092
43.50000,0.50000,-0.31234
44.50000,0.50000,-0.34332
45.50000,0.50000,-0.28451
46.50000,0.50000,0.13479
47.50000,0.50000,0.02714
48.50000,0.50000,0.18184
49.50000,0.50000,0.43984
50.50000,0.50000,0.28513
51.50000,0.50000,0.26141
52.50000,0.50000,0.49226
53.50000,0.50000,-0.19873
54.50000,0.50000,0.06603
55.50000,0.50000,0.35474
56.50000,0.50000,0.92545
57.50000,0.50000,1.08012
58.50000,0.50000,0.99388
59.50000,0.50000,1.33336
60.50000,0.50000,1.29950
61.50000,0.50000,1.40543
62.50000,0.50000,1.70344
63.50000,0.50000,1.46217
64.50000,0.50000,1.69569
65.50000,0.50000,1.59245
66.50000,0.50000,1.59762
67.50000,0.50000,1.52934
68.50000,0.50000,1.61935
69.50000,0.50000,1.47806
70.50000,0.50000,1.90008
71.50000,0.50000,1.85599
72.50000,0.50000,1.79415
73.50000,0.50000,1.63311
74.50000,0.50000,1.34137
75.50000,0.50000,1.13749
76.50000,0.50000,1.15910
77.50000,0.50000,1.09748
78.50000,0.50000,0.89351
79.50000,0.50000,1.23817
